linux<><>2016/11/14(月) 11:14:22.33 ID:OMr4mKN2<> 話題にぴったりのスレッドがなかったのでたてました。 <br> <br> 今迄ずっとWindowをメインで使ってきましたが、Windows10になって不満を極度に感じるようになりました。 <br> かなりの頻度で再起動をともなう更新が強制され、その間PCの使用ができなくなるわけです。 <br> 大規模なアップデートの際には1時間程度使えないこともありました。 <br> また、再起動に際して待機中プログラムを勝手に終了され、許せない思いです。 <br> <br> 最近、Linuxデスクトップをメインで使うようになりました。 <br> やっと懐かしい感覚を得られるようになりました。自分でPCをコントロールできる感覚です。 <br> ずっとWindowsにその感覚を取り上げられていたわけです。 <br> <br> 今や必要なサービスはブラウザさえあればほとんど受けることができます。 <br> オフィスソフトもLibreOfficeという素晴らしいものがあります。 <br> もう普段のデスクトップ環境としてLinuxデスクトップを選んでも差し支えありません。 <br> <br> こういう気付きをみなさんで共有しましょう！ <>WindowsやめてLinuxデスクトップ！ [無断転載禁止]&#169;2ch.net 
linux<><>2016/11/14(月) 11:18:48.59 ID:OMr4mKN2<> CentOS 7（+ MATE）だけど、Chromeも、LibreOffice 5も導入できて使えた。 <br> Chromiumも導入して、Googleの複数のアカウントをそれぞれで使っている。 <br> <br> とても快適。 <>
linux<><>2016/11/14(月) 11:28:06.30 ID:OMr4mKN2<> 上記の環境で、後気付いた点↓ <br> <br> Wifiも問題なくつかえる。 <br> 日本語入力もok。 <br> スリープも出来る。 <br> メモリの使用量、CPUの使用率も低い。 <br> Gmailの反応がとても速くなった。 <br> システムの起動が早い。 <br> Windowsとのデュアルブートも可能（設定が必要） <>
linux<><>2016/11/14(月) 11:29:13.41 ID:OMr4mKN2<> ドライバ（PPDファイル）さえあればプリンタの導入も問題無。 <>
login:Penguin<>sage<>2016/11/15(火) 11:37:26.01 ID:S2cSIrHM<> 動画編集なんて重い作業は仮想環境でやらずにLinuxでおやりなさい <br> 探せばノンリニア編集ソフトもいろいろ見つかるから <>
login:Penguin<>sage<>2016/11/15(火) 12:09:01.35 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/21" rel="noopener noreferrer" target="_blank">&gt;&gt;21</a> <br> 今それを探してる最中です <br> この仮想XPはそれまでの繋ぎですね <br> aviutlに馴染んでしまってるのでなかなか難しいのもあります <br> しかしlinuxのソフト恐るべし、ですね <br> 実際に使ってみて分かりましたがwindowsのものと比べてまったくひけをとらないソフトばかりでしたから <br> しばらく離れてるうちにここまで進化いたのかと軽いカルチャーショックでした <br> もうaviutlを使う時以外はwindowsを立ち上げることもなくなりました <br> 完全移行まであと一息ですね <>
login:Penguin<>sage<>2016/11/15(火) 17:01:10.53 ID:26kXjqoz<> <a href="../test/read.cgi/linux/1479089662/22" rel="noopener noreferrer" target="_blank">&gt;&gt;22</a> <br> Avidemuxという動画編集アプリあります。aviutlほど細かく編集できないけど <br> 便利で軽量な動画編集アプリです。ただしどうやらlubuntu16.04では対応して <br> おらず15.10でやるしかなく残念です。 <>
login:Penguin<>sage<>2016/11/15(火) 17:43:23.90 ID:xvSM1Y/F<> <a href="../test/read.cgi/linux/1479089662/23" rel="noopener noreferrer" target="_blank">&gt;&gt;23</a> <br> ありがとうございます <br> Windowsでもこれ使ったことがあるので探してみたのですが、やはりMintのリポジトリにもなく、あちこち探している段階です <br> でも正直言ってaviutlが素晴らしすぎるというか、あの豊富なプラグイン群を含めてあれだけ優れたソフトの代わりは見つからないんじゃないかな、と少々弱気になってます <br> まあ焦らずゆっくり探してみます <br> 情報わざわざありがとうございます <>
login:Penguin<>sage<>2016/11/15(火) 19:38:39.29 ID:26kXjqoz<> <a href="../test/read.cgi/linux/1479089662/24" rel="noopener noreferrer" target="_blank">&gt;&gt;24</a> <br> こちらはサブ機にxp入れてaviutlを動かしています。 <br> メイン機がskylakeのi5 4コアならvirtulboxでwin7+aviutlもいいと思います。 <>
login:Penguin<>sage<>2016/11/15(火) 20:19:16.27 ID:3Kgs6N+A<> <a href="../test/read.cgi/linux/1479089662/25" rel="noopener noreferrer" target="_blank">&gt;&gt;25</a> <br> qemu+KVMはだめなんだろうか。 <>
login:Penguin<>sage<>2016/11/16(水) 02:20:39.11 ID:NrdhaxcI<> <a href="../test/read.cgi/linux/1479089662/25" rel="noopener noreferrer" target="_blank">&gt;&gt;25</a> <br> 残念ながらcore2duo1台しか持ってませんしXP以降のWindowsは買ってないのです <br> いまさら新しいWindowsをわざわざ買おうとは思わないし <br> 最初はXPとデュアルブートにしてましたがlinuxネイティブのソフトの出来が想像以上に良くてaviutlだけを残してlinux Mint18cinnamonに移行してしまいました <br> いろんなプラグインや使い勝手を考えてもaviutlは現時点では手放せないのです <>
login:Penguin<>sage<>2016/11/16(水) 04:14:31.90 ID:5IZuGqHJ<> virtualboxでaviutlを動かしてh264を出力させてみた印象としてはさほどXP実機の時と変わらない印象でした <br> XP実機も最後はかなりインストール時より時間が経過していろんなソフトやレジストリで肥大化により重くなってきてたので、virtualboxとさほど印象が変わらなかったのかもしれません <br> 正確に比較したわけではなくあくまでも印象ですが <br> それにvirtualboxのXPは完全にクリーンインストールでしかも関係ないソフトはすべて排除してaviutl専用として使ってるのでとても軽いのです <br> さらにvirtualboxのスナップショットはいわばWindowsの復元機能と同じで常にその時の状態を維持できるのでレジストリが肥大することもありません <br> Windowsとしては理想的環境とも考えていいのかもしれません <>
login:Penguin<><>2016/11/16(水) 08:19:11.78 ID:0UkDDHwB<> windows なんてゲーム用OSだな。 <>
login:Penguin<>sage<>2016/11/16(水) 10:48:22.86 ID:R50FOGzN<> たまに、Windows IEでしか動作しません！というECサイトがあるけど、 <br> アフォかと思う。 <>
login:Penguin<>sage<>2016/11/17(木) 01:54:30.72 ID:inxWIWG8<> <a href="../test/read.cgi/linux/1479089662/28" rel="noopener noreferrer" target="_blank">&gt;&gt;28</a> <br> H264 とか、コーデックの圧縮・伸長は、CPU次第やろ <br> <br> CPUにその機能が付いていれば、速い <>
login:Penguin<>sage<>2016/11/17(木) 13:21:01.23 ID:ldLfDaDD<> windows10の更新がなかなか終わらなかったので、電源長押しで強制パワーオフした。 <br> <br> windows7までは幸せだったのにな。 <>
login:Penguin<>sage<>2016/11/17(木) 16:56:12.29 ID:2mzQ60GL<> Win7も新規インスコになると工夫しないと更新数時間レベルでかかるよ <>
login:Penguin<>sage<>2016/11/17(木) 23:36:21.00 ID:ldLfDaDD<> <a href="../test/read.cgi/linux/1479089662/33" rel="noopener noreferrer" target="_blank">&gt;&gt;33</a> <br> Linuxならとんとこやってくれるのにね。 <>
login:Penguin<>sage<>2016/11/17(木) 23:42:19.62 ID:BN/DmJIG<> apt update 十秒ぐらい <br> apt upgrade しゅぱーしゅぱーしゅぱー <>
login:Penguin<><>2016/11/17(木) 23:58:22.19 ID:H/qKET35<> Linux使って数日以上経った人も多いと思いますが、 <br> これまでの所どんな感じですか？ <>
login:Penguin<>sage<>2016/11/18(金) 00:11:36.59 ID:xlVo1jNl<> <a href="../test/read.cgi/linux/1479089662/33" rel="noopener noreferrer" target="_blank">&gt;&gt;33</a> <br> 最初からOFFにしておくと幸せ <br> ていうか7、8.1は自動にしておくとテレメトリ入るから最初から更新しなければいい <br> <br> <a href="../test/read.cgi/linux/1479089662/36" rel="noopener noreferrer" target="_blank">&gt;&gt;36</a> <br> なぜかUSBメモリのデータが読もうとしたら吹っ飛んでしまい困ってるくらい <br> USBメモリそのものが壊れてる可能性もあるが、なんか8GBくらいまでにしておけば安定してる感じ <>
login:Penguin<>sage<>2016/11/18(金) 00:21:32.67 ID:pMhsmNCH<> <a href="../test/read.cgi/linux/1479089662/37" rel="noopener noreferrer" target="_blank">&gt;&gt;37</a> <br> Linux Mint？ <>
login:Penguin<>sage<>2016/11/18(金) 00:32:35.61 ID:DoWASfKg<> <a href="../test/read.cgi/linux/1479089662/36" rel="noopener noreferrer" target="_blank">&gt;&gt;36</a> <br> フォントで悩んでいる。 <br> <br> LibreOfficeがあっても、他から貰う文書ファイルはWindows環境で作成されているものだろうから、 <br> MS（明朝、ゴシック、P明朝、Pゴシック）フォントの四つが指定されていると思う。 <br> <br> 一番いいのは、完全互換フォントをMSフォントとして使うことなんだろうが、その方法がわからない。 <br> そんな完全互換フォントがあるのかどうか？ <br> 名称変更とか、エイリアスを作成とか、代用するための方法があるのか？ <>
login:Penguin<>sage<>2016/11/18(金) 00:36:26.49 ID:DoWASfKg<> <a href="../test/read.cgi/linux/1479089662/37" rel="noopener noreferrer" target="_blank">&gt;&gt;37</a> <br> 少なくとも、Fedoraや、CentOS 6や7ではそんな問題はないなあ。 <br> UHS-2フラッシュメモリでも問題なく扱える。 <br> <br> 128GBを超えるSDカードやコンパクトフラッシュの場合で、 <br> かつカードリーダーが大容量のものに非対応なら、 <br> Windowsではまったくアクセスできないが、 <br> Linuxならアクセス可能な領域まで中途半端にアクセスできてしまう問題ならあるけど。 <br> <br> 8GBは少いね。 <>
login:Penguin<><>2016/11/18(金) 01:16:27.84 ID:m5/eCWSJ<> <a href="../test/read.cgi/linux/1479089662/37" rel="noopener noreferrer" target="_blank">&gt;&gt;37</a> <br> どのLinuxを使ってるんですか？　windowsで使ってものなら <br> USBメモリのフォーマットが関係あるのだろうか？ <>
login:Penguin<>sage<>2016/11/18(金) 02:07:08.43 ID:/motDhhG<> <a href="../test/read.cgi/linux/1479089662/39" rel="noopener noreferrer" target="_blank">&gt;&gt;39</a> <br> 他のことで手一杯で、LibreOfficeはこれから触ってみるつもりでした。 <br> MSなのでライセンスに問題があるのかわからないけれど、 <br> 読むだけでもダメなのか書いて作成したらダメなのか、 <br> フォント入れるだけでもダメなのか知らない、 <br> でも入れたってそれだけなら実害は発生しないとは思うけど。 <br> /usr/local/share/fonts/　この中に入れれば使えそう？？に見えるｗ <br> フォントの入ったフォルダまるまんま入れて使えたらラッキーだけどそんな簡単じゃないかな。 <>
login:Penguin<>sage<>2016/11/18(金) 02:16:16.16 ID:AqkKLXXJ<> <a href="../test/read.cgi/linux/1479089662/37" rel="noopener noreferrer" target="_blank">&gt;&gt;37</a> <br> これWindows10と7の間でも起きてるみたいだね <br> 普通の会社ではusbとか禁止の所も多かったりするから見過ごされてきただけなのかも <>
login:Penguin<>sage<>2016/11/18(金) 03:06:09.74 ID:26o3gnK7<> <a href="../test/read.cgi/linux/1479089662/39" rel="noopener noreferrer" target="_blank">&gt;&gt;39</a> <br> 比べてないからわからないけど、入っているtakaoかIPAモナーフォントというのが似ているようです。 <br> MSｺﾞﾆｮは.fon捨ててtruetypeフォルダに入れてみたら使えちゃったけど確認してすぐ外した。単純だった。 <br> ライセンス違反せず似たフォントをソフト管理の方でインストールする方が絶対いいね。 <br> 個人的にはMSフォント全く使う機会ないのでいらないけど、仕事だと必要になったりするかもね。 <>
login:Penguin<>sage<>2016/11/18(金) 04:57:25.92 ID:BC5q8G6R<> <a href="../test/read.cgi/linux/1479089662/43" rel="noopener noreferrer" target="_blank">&gt;&gt;43</a> <br> ウチの会社だと情シスが許可したもの以外のUSBメモリー以外は認識しない。 <>
